neuron1,neuron2,neuron3,neuron4,neuron5,neuron6,neuron7,neuron8,neuron9,neuron10,neuron11,neuron12,neuron13,neuron14,neuron15,neuron16,neuron17
1.171329911,0.493057392,16.76749138,0.776968958,1.104069066,0.816617456,12.34611746,1.74297629,1.716779961,1.290983414,1.372404436,1.529724012,1.035392204,5.607996831,0.76280878,1.134513448,1.754446034
1.202907107,0.540777192,18.76591728,0.81775027,1.118087642,0.851451493,13.80390776,1.783191195,1.72541767,1.351164169,1.393644703,1.573195758,1.066827798,6.429995155,0.80500611,1.194977408,1.825954932
1.248219676,0.543609227,19.27412607,0.818316677,1.140743927,0.858814786,13.90770187,1.788005656,1.820007658,1.418141811,1.512306993,1.612844256,1.103785863,7.167598818,0.885011115,1.241989198,1.885710883
1.269743147,0.551397325,20.88767833,0.841680971,1.152638476,0.951705553,14.77147272,1.807688303,1.825105322,1.446462166,1.554787527,1.645979072,1.197809443,8.211487129,0.895064841,1.277531245,1.920403319
1.278239254,0.563150273,21.3308919,0.865186866,1.167506663,0.996168511,17.49249249,1.825813331,1.929182629,1.592595202,1.674724233,1.671750596,1.289708998,8.327742189,0.919137144,1.309958052,2.029436688
1.300612335,0.569947158,21.57331414,0.890250381,1.200924683,1.026046486,18.09401684,2.054075397,1.977893641,1.821565277,1.686618782,1.742551485,1.309391645,8.361585014,1.014293539,1.333605549,2.102786409
1.345924904,0.572354388,22.23813449,0.921119568,1.219474515,1.067535807,18.15901206,2.066536354,2.051668167,1.911340805,1.824538915,1.807546701,1.335446372,8.765150082,1.02236484,1.353996205,2.115672171
1.403698429,0.598550717,22.38794917,0.940235809,1.267477518,1.134230245,18.29679059,2.150931014,2.128841136,1.953254931,1.831194198,1.83770788,1.364474737,8.868094575,1.045870735,1.452267839,2.212669389
1.446886972,0.604073187,22.46653816,0.955670402,1.338703213,1.168922681,18.40384154,2.158435908,2.205164495,2.156595085,1.896755822,1.911199203,1.403556827,9.046937621,1.10279465,1.656740807,2.258973171
1.53114003,0.638907224,22.9552059,0.970113784,1.358527462,1.182799655,18.63012118,2.343934238,2.210545362,2.193836353,1.902136689,2.001116332,1.43796606,9.124535396,1.161134583,1.705876624,2.263221224
